TV,Radio,Newspaper,Sales
0.969852266,0.981522472,1.778945467,22.1
-1.197376228,1.082807813,0.66957876,10.4
-1.516154988,1.52846331,1.783548649,9.3
0.052049682,1.217854933,1.286405062,18.5
0.394182198,-0.841613655,1.281801881,12.9
-1.615408448,1.731033991,2.045929986,7.2
-1.045576818,0.643904671,-0.324708413,11.8
-0.313436589,-0.247406325,-0.872486994,13.2
-1.616576136,-1.42906863,-1.360424218,4.8
0.616042873,-1.395306849,-0.430581584,10.6
-0.94515567,-1.179231457,-0.292486143,8.6
0.79002835,0.04969734,-1.222328778,17.4
-1.439087595,0.799208859,1.627040482,9.2
-0.578501712,-1.057689048,-1.075026974,9.7
0.666253447,0.650657027,0.711007392,19
0.564664612,1.650005719,1.028626906,22.4
-0.925304978,0.9004942,3.841170715,12.5
1.568876091,1.103064881,1.162119165,24.4
-0.908957349,-0.186635121,-0.564073843,11.3
